tempo,ax,ay,az,acao
546.0,-6.2,6.2,-3.57,bebendo
548.0,-6.15,6.24,-3.57,bebendo
550.0,-6.15,6.25,-3.57,bebendo
552.0,-6.22,6.21,-3.59,bebendo
554.0,-6.22,6.19,-3.57,bebendo
556.0,-6.18,6.2,-3.6,bebendo
558.0,-6.18,6.28,-3.55,bebendo
560.0,-6.13,6.25,-3.55,bebendo
562.0,-6.19,6.19,-3.58,bebendo
564.0,-6.34,6.45,-3.51,bebendo
566.0,-6.14,6.16,-3.69,bebendo
568.0,-6.27,6.16,-3.54,bebendo
570.0,-6.24,6.25,-3.5,bebendo
572.0,-6.09,6.24,-3.68,bebendo
574.0,-6.2,6.27,-3.46,bebendo
576.0,-6.16,6.18,-3.62,bebendo
578.0,-6.24,6.22,-3.52,bebendo
580.0,-6.19,6.23,-3.61,bebendo
582.0,-6.17,6.24,-3.58,bebendo
584.0,-6.14,6.28,-3.58,bebendo
586.0,-6.17,6.27,-3.52,bebendo
588.0,-6.16,6.24,-3.57,bebendo
590.0,-6.22,6.21,-3.58,bebendo
592.0,-6.19,6.22,-3.56,bebendo
594.0,-6.14,6.22,-3.57,bebendo
596.0,-6.18,6.27,-3.55,bebendo
598.0,-6.16,6.22,-3.59,bebendo
600.0,-6.2,6.26,-3.49,bebendo
602.0,-6.17,6.23,-3.61,bebendo
604.0,-6.18,6.25,-3.53,bebendo
606.0,-6.16,6.23,-3.59,bebendo
608.0,-6.16,6.27,-3.51,bebendo
610.0,-6.14,6.23,-3.6,bebendo
612.0,-6.19,6.24,-3.5,bebendo
614.0,-6.17,6.21,-3.6,bebendo
616.0,-6.18,6.24,-3.53,bebendo
618.0,-6.17,6.23,-3.58,bebendo
620.0,-6.17,6.25,-3.51,bebendo
622.0,-6.17,6.2,-3.58,bebendo
624.0,-6.19,6.23,-3.53,bebendo
626.0,-6.17,6.2,-3.58,bebendo
628.0,-6.17,6.23,-3.56,bebendo
630.0,-6.17,6.24,-3.56,bebendo
632.0,-6.18,6.25,-3.54,bebendo
634.0,-6.18,6.22,-3.58,bebendo
636.0,-6.18,6.22,-3.56,bebendo
638.0,-6.18,6.23,-3.58,bebendo
640.0,-6.18,6.23,-3.55,bebendo
642.0,-6.18,6.23,-3.54,bebendo
644.0,-6.18,6.23,-3.56,bebendo
646.0,-6.17,6.22,-3.57,bebendo
648.0,-6.19,6.23,-3.59,bebendo
650.0,-6.18,6.23,-3.56,bebendo
652.0,-6.17,6.24,-3.56,bebendo
654.0,-6.17,6.24,-3.57,bebendo
656.0,-6.17,6.24,-3.56,bebendo
658.0,-6.19,6.22,-3.55,bebendo
660.0,-6.19,6.23,-3.54,bebendo
662.0,-6.15,6.23,-3.55,bebendo
664.0,-6.17,6.23,-3.56,bebendo
666.0,-6.17,6.22,-3.57,bebendo
668.0,-6.17,6.25,-3.55,bebendo
670.0,-6.18,6.23,-3.56,bebendo
672.0,-6.19,6.22,-3.55,bebendo
674.0,-6.17,6.23,-3.53,bebendo
676.0,-6.17,6.23,-3.54,bebendo
678.0,-6.17,6.23,-3.57,bebendo
680.0,-6.17,6.22,-3.54,bebendo
682.0,-6.18,6.26,-3.56,bebendo
684.0,-6.19,6.22,-3.54,bebendo
686.0,-6.15,6.25,-3.54,bebendo
688.0,-6.17,6.22,-3.54,bebendo
690.0,-6.16,6.22,-3.56,bebendo
692.0,-6.18,6.22,-3.54,bebendo
694.0,-6.19,6.22,-3.56,bebendo
696.0,-6.16,6.23,-3.55,bebendo
698.0,-6.17,6.21,-3.56,bebendo
700.0,-6.19,6.24,-3.55,bebendo
702.0,-6.18,6.22,-3.56,bebendo
704.0,-6.19,6.23,-3.53,bebendo
